file,line,pattern,verdict,is_live_path,explanation,context
scripts\audit_engine.py,24,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""IS_WINNER_LIVE"": re.compile(r""\bis_winner\b""),"
scripts\audit_engine.py,25,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"""FUTURE_PNL"": re.compile(r""\bfuture_pnl\b""),"
scripts\audit_engine.py,26,future_return,HISTORICAL_REFERENCE,False,Future return used as feature,"""FUTURE_RETURN"": re.compile(r""\bfuture_return\b""),"
scripts\audit_engine.py,27,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"""FUTURE_MFE"": re.compile(r""\bfuture_mfe\b""),"
scripts\audit_engine.py,28,future_mae,HISTORICAL_REFERENCE,False,Future MAE used as feature,"""FUTURE_MAE"": re.compile(r""\bfuture_mae\b""),"
scripts\audit_engine.py,67,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"rec = ""Avoid duplicating trades using sample(replace=True) to pad candidate lists."""
scripts\check_project_memory.py,114,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"check(file_contains(rulebook, ""sample"", ""replace=True""),"
scripts\check_project_memory.py,115,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"""Rulebook: Prohibits trade sampling (replace=True)"")"
scripts\phase29_1_truth_first_recovery.py,672,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"r""\.sample\(n=.*replace=True"","
scripts\phase29_2_precision_fusion_truth.py,733,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"(""replace=True"", ""replacement sampling""),"
scripts\phase29_absolute_truth_audit.py,393,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
scripts\phase29_absolute_truth_audit.py,393,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
scripts\phase29_absolute_truth_audit.py,401,replace=True,HISTORICAL_REFERENCE,False,Fake trade sampling,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
scripts\phase29_absolute_truth_audit.py,401,.sample(n=,HISTORICAL_REFERENCE,False,Trade sampling — possible fake expansion,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
scripts\phase29_absolute_truth_audit.py,436,is_winner,HISTORICAL_REFERENCE,False,Outcome label — live lookahead,"""is_winner"","
scripts\phase29_absolute_truth_audit.py,437,future_pnl,HISTORICAL_REFERENCE,False,Future PnL used as feature,"""future_pnl"","
scripts\phase29_absolute_truth_audit.py,438,future_return,HISTORICAL_REFERENCE,False,Future return used as feature,"""future_return"","
scripts\phase29_absolute_truth_audit.py,439,future_mfe,HISTORICAL_REFERENCE,False,Future MFE used as feature,"""future_mfe"","
