idea_id,family,name,hypothesis,target_problem,target_benchmark,expected_live_known_features,required_timeframe,entry_logic,exit_logic,risk_logic,why_it_might_work,why_it_might_fail,lookahead_risk,hardcoding_risk,overfit_risk,expected_trade_count_impact,expected_pf_impact,expected_dd_impact,required_data,implementation_complexity,test_priority,kill_criteria,success_criteria
IDEA_001,PF1.2 teacher replay diagnostics,Teacher Trade Replay & Path Verification,Replaying original 325 teacher trades at 5m resolution isolates candle-structure assumptions from physical price execution.,"PF1.2 5m engine trade log mismatch (3,111 trades, PF 0.64).",PF 1.2,"candle_open_time, index_in_hour, close_to_atr_ratio",5m,Execute entry at the exact timestamp recorded in the 1h teacher log.,Simulate stop-loss (1.8x ATR) and take-profit (2.5x ATR) using 5m high/low paths.,Conservative stop-first same-candle resolution.,"Accurately maps which teacher trades are stopped out before target, validating the engine path.",If teacher entries were based on hindsight indices not present in live data.,None (replay is diagnostic only).,High if used directly for live trading; low if used as a diagnostic.,Low (no parameter fitting).,Reduces test trades to exactly 325 matching candidate times.,Identifies true realizable PF of the teacher set.,Reveals the true physical drawdown path.,"BTCUSDT 5m OHLCV, phase12_runner.py trade logs",Medium,High (Priority 1),If 100% of trades are instantly stopped out due to data alignment gaps.,Accurate tracking of every teacher trade survival status with path logs.
IDEA_002,Variant C live rebuild,Strict Regime Breakout Live Compiler,Compiling Variant C with strict closed-candle regime gates prevents entry in choppy periods.,Variant C decay under event-driven 5m backtests.,Variant C,"adx_14, rsi_14, closed_regime_index",1h,Universal template breakout only when ADX > 25 and RSI is neutral.,Fixed ATR stop and target based on closed-candle values at entry time.,"Single position limit, cooldown of 5 candles.",Enforces 1h candle rules strictly without intra-candle lookahead.,May reduce trade count below statistical significance.,None if using strictly closed 1h candles.,None (fully dynamic).,Medium (regime thresholds).,Reduces trades by 30-40% compared to un-gated.,Improves PF by filtering low-volatility false breakouts.,Reduces max DD by preventing whipsaws.,BTCUSDT 1h processed OHLCV,Medium,High,If net PnL becomes negative over the full 2020-2026 backtest.,reproduces Variant C targets without using any lookahead metrics.
IDEA_003,Variant B rescue rebuild,Variant B Broad-Capture Recovery,Variant B's looser breakout filters can be rescued by adding a dynamic volume confirmation filter.,Variant B low profit factor (1.92) compared to PF 1.2.,Variant B,"volume_ratio, breakout_conviction",1h,Breakout entry when volume is at least 1.5x the 20-period moving average.,ATR trailing exit or 2.0x ATR profit target.,Risk throttle mode based on recent 30-day drawdown.,Volume filters out low-participation breakout signals.,Binance volume spikes are frequently mean-reverting.,None (uses closed-candle volume).,None.,Medium.,Reduces trades by 20% but increases average win size.,Increases PF from 1.92 to 2.10+.,Maintains DD below 12.0%.,BTCUSDT 1h processed OHLCV + volume,Medium,Medium,If trade count drops below 200.,"Net PnL > $18,000 and PF > 2.0."
IDEA_004,MTF retest confirmation,Multi-Timeframe Breakout Confirmation,Requiring a 5m wick retest confirmation of a 1h breakout level improves entry precision.,High slippage and execution decay of 1h breakout entries.,PF 1.2,"is_1h_breakout, has_5m_retest, distance_to_breakout",1h + 5m,1h candle closes in breakout; entry is placed on limit order at the 1h breakout level during next 1h.,SL/TP managed at 5m resolution based on 1h ATR.,Cancel limit order if not filled within 12 5m candles.,Enables limit order execution (maker fees) instead of market orders (taker fees).,Missing high-momentum breakouts that never retest the level.,"Low (1h closes first, then 5m limits are evaluated).",None.,Medium (limit timeout setting).,Reduces trade count by 50% due to unfilled limits.,Significant increase in PF due to lower fees and better fills.,Slightly higher risk if missed wins skew the distribution.,BTCUSDT 1h + 5m processed data,High,High,If match rate with teacher trades falls below 10%.,Maker entry execution with positive PnL in backtest.
IDEA_005,VWAP reclaim,VWAP Band Reclaim Strategy,Entering when price reclaims the daily VWAP after a deviation filters out exhaustive trends.,False breakout entries at the extreme ends of range regimes.,PF 1.2,"vwap_distance, vwap_reclaim_signal",15m,Price crosses daily VWAP from below (long) or above (short) after deviating by 1.5x ATR.,Exit at opposite VWAP band or 2.0x ATR.,Hard stop at 1.5x ATR from entry.,Exploits intraday mean-reversion with positive expectation.,"During strong trending regimes, price does not reclaim VWAP.",None (uses closed VWAP value).,None.,Low.,Provides 150-200 high-quality range trades.,Maintains PF > 2.0 in range markets.,Low correlation with trend strategies reduces combined DD.,BTCUSDT 15m processed OHLCV + VWAP,Medium,Medium,If PF in trending months is less than 0.8.,Range regime PF > 2.2.
IDEA_006,second retest,Double Retest Confirmation Filter,Wait for two tests of a support/resistance level on the 5m chart before entering a reversal.,Catching falling knives on single-wick rejections.,Variant B,"retest_count, wick_rejection_ratio",5m,Enter after the second 5m candle wick rejects a major hourly level.,Target at next hourly resistance/support.,Tight stop just below the lowest wick price.,Higher conviction setup due to confirmed support/resistance.,Misses fast V-shape reversals.,None.,None.,Medium (wick detection tolerance).,Low frequency (30-50 trades over full history).,Very high PF (> 2.50) on successful setups.,Minimal DD impact due to very tight stops.,BTCUSDT 5m processed OHLCV,Medium,Low,If trade frequency is less than 5 trades per year.,Win rate > 60% on completed trades.
IDEA_007,funding defensive skip,Extreme Funding Defensive Skip,Skipping long entries when funding rate is extremely positive (or shorts when negative) prevents carrying toxic holding costs.,PnL erosion due to negative funding payments in high-leverage positions.,PF 1.2,"funding_rate, funding_cost_est",1h,Skip any long entry if funding rate > 0.05% per 8 hours.,No change to standard target/stop exits.,Proactively limits carry risk.,Avoids entering crowded trades right before funding settlement epochs.,May skip high-momentum breakout trades that outweigh funding costs.,None (uses pre-settlement funding rates).,None.,Low (funding threshold is standard exchange limit).,Reduces trades by 5-10% in bubble market regimes.,Increases PF by saving margin costs.,Reduces drawdown in extended consolidation periods.,Binance BTCUSDT funding rate history,Low,High,If total net PnL decreases after applying the filter.,"Saves at least $1,000 in cumulative funding rate costs."
IDEA_008,NY low-liquidity hardening,New York Session Liquidity Filter,Restricting breakout entries to high-volume hours (London/NY overlap) reduces low-liquidity false breaks.,False breakouts during Asian session and NY afternoon market thinness.,PF 1.2,"market_hour, volume_zscore",1h,Only enter breakouts between 07:00 and 16:00 UTC.,Standard exits; time-based exit if held > 24 hours.,No same-candle modifications.,Enforces trading when institutional volume is highest.,Crypto is a 24/7 market; major moves frequently start in Asia.,None (uses current timestamp).,Low (hour parameters are standard market segments).,Low.,Reduces trades by 40-50%.,Increases PF significantly during breakout runs.,Prevents weekend/holiday price whipsaws.,BTCUSDT 1h processed OHLCV with hour index,Low,Medium,If it filters out the top 5 most profitable trades of the strategy.,Reduces false breakouts by at least 25%.
IDEA_009,weak continuation exits,Weak Momentum Early Exit,Exiting a trade early if momentum (ADX/RSI) fails to accelerate within 3 candles reduces average loss.,Extended flat periods before a stop loss is eventually hit.,Variant C,"candles_since_entry, adx_slope, rsi_flatline",1h,No change to standard entry.,Exit at market close if trade is not in profit and ADX slope < 0 after 3 candles.,Protects capital by freeing margin for better setups.,"Minimizes time spent in slow, flat, or sideways markets.",Might cut profitable trades short before the move starts.,None (uses elapsed candles).,None.,Medium (candle window length parameter).,No impact on entry count; decreases average holding time.,Slight improvement in PF.,Reduces drawdown by preventing slow bleed outs.,BTCUSDT 1h processed OHLCV,Medium,Medium,If win rate drops below 35%.,Reduces average holding time of losing trades by 30%.
IDEA_010,breakeven/trailing/time-stop,Dynamic Breakeven & Time Exit,Moving stop-loss to breakeven after price reaches 1.0x ATR profit protects open equity.,Winning trades turning into complete losers due to quick market reversals.,PF 1.2,"max_unrealized_pnl, atr_at_entry",5m,No change to entry.,Adjust SL to entry price once unrealized PnL exceeds 1.0x ATR. Add 48-candle hard time limit.,Non-overlapping stop order modifications.,Locks in protection and prevents capital drag from stagnant positions.,Prematurely stops out trades that retest the entry level before moving to target.,None.,None.,Medium (ATR threshold setting).,Increases number of flat trades (PnL = 0).,Increases PF by reducing gross losses.,Improves equity curve smoothness.,BTCUSDT 5m processed OHLCV,Medium,High,If the number of breakeven stopped trades exceeds 60% of all trades.,Reduces max DD by at least 15% without reducing net PnL by more than 10%.
