source_file,rule_type,rule_text_or_meaning,live_safe_status,use_in_new_engine,conflict_note
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,entry_timing,8:- **Trigger Candle:** Pullback retest of Band Midpoint | 9:- **Long Entry Condition:** Price touches Band Midpoint + (ATR * 0.1) on closed-candle confirm | 10:- **Short Entry Condition:** Price touches Band Midpoint - (ATR * 0.1) on closed-candle confirm | 16:- **Trigger Candle:** Second retest touch on 15m Support/Resistance | 23:- **Trigger Candle:** Closed-candle reclaim of 2.0x standard deviation band,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,stop_loss,3:## 1. Entry Sleeve Specifications | 5:### Sleeve 1: Precision Fusion 1.2 Core Retest | 13:### Sleeve 2: Second Retest Expansion Sleeve | 20:### Sleeve 3: VWAP Reclaim Sleeve | 29:- **Stop Loss (SL):** 1.5 * 14-period closed ATR (stop-market order) | 31:- **Same-Candle TP/SL Priority:** SL is assumed touched first if both limits are hit in the same candle | 33:- **Breakeven Stop:** Move SL to BE once favorable excursion reaches 0.5R,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,take_profit,30:- **Take Profit (TP):** 2.5 * 14-period closed ATR (limit order) | 31:- **Same-Candle TP/SL Priority:** SL is assumed touched first if both limits are hit in the same candle,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,same_candle,31:- **Same-Candle TP/SL Priority:** SL is assumed touched first if both limits are hit in the same candle,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,breakeven,33:- **Breakeven Stop:** Move SL to BE once favorable excursion reaches 0.5R,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,time_stop,32:- **Time Stop:** Terminate trade if in position > 24 candles without reaching 1.0R,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase25_1_entry_exit_rule_serialization.md,funding,11:- **Funding filter:** Skip if abs(funding) > 0.05%,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase28_entry_exit_rule_serialization.md,stop_loss,3:## 1. Core Sleeves,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase28_entry_exit_rule_serialization.md,funding,10:- **Extreme Funding Filter:** Skip entries if abs(funding) > 0.04%.,LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
C:\Users\HP\Documents\Codex\2026-07-01\spaciousabhi-binance-futures-backtest-research-https\work\binance-futures-backtest-research\reports\phase28_live_execution_flow_audit.csv,entry_timing,"2:1,Candle close event,SHADOW_MODE_READY",LIVE_SAFE_IF_CLOSED_CANDLE_AND_EXCHANGE_VERIFIED,YES,Phase28 price tick text conflicts with current engine BTC rounding; 29.6 uses conservative engine-family 0.1 tick and documents this.
