file_path,line,pattern,reason_allowed,classification,review_note,can_import_active_strategy
scripts\audit_engine.py,24,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\audit_engine.py,25,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\audit_engine.py,26,future_return,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\audit_engine.py,27,future_mfe,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\audit_engine.py,28,future_mae,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\audit_engine.py,67,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\check_project_memory.py,114,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\check_project_memory.py,115,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_1_truth_first_recovery.py,672,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_2_precision_fusion_truth.py,733,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,393,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,393,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,401,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,401,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,436,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,437,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,438,future_return,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,439,future_mfe,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,440,future_mae,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,452,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,721,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,939,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase29_absolute_truth_audit.py,1102,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,87,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,88,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,89,future_return,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,90,future_mfe,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,91,future_mae,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,92,teacher_label,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,93,replace=True,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,94,.sample(n=,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,95,pnl_81_calc = pnl_81,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,537,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,538,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,538,future_return,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,1226,is_winner,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,1226,future_pnl,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,1226,future_mfe,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
scripts\phase31_1_runner.py,1226,future_mae,Historical research runner — not importable by active strategy code,EVIDENCE_ONLY_NOT_FOR_BENCHMARK_CONSTRUCTION,Verify file is not imported by phase32_runner or engine,NO
