file,line,pattern,risk_level,context,classification,recommendation
src\research\phase10_runner.py,475,VERDICT_HARDCODING,INFO,"verdict = ""PASS_STRATEGY_FOUND""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase11_runner.py,761,VERDICT_HARDCODING,INFO,"verdict = ""PASS_STRATEGY_FOUND""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase12_2_runner.py,438,VERDICT_HARDCODING,INFO,"verdict = ""PASS_RESEARCH_BREAKTHROUGH_READY_FOR_PHASE_13""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase14_runner.py,588,VERDICT_HARDCODING,INFO,"verdict = ""PASS_BENCHMARK_BREAKTHROUGH""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase14_runner.py,590,VERDICT_HARDCODING,INFO,"verdict = ""PASS_NEAR_TARGET_SYSTEM_FOUND""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase15_runner.py,382,VERDICT_HARDCODING,INFO,"verdict = ""PASS_BENCHMARK_BREAKTHROUGH""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase15_runner.py,384,VERDICT_HARDCODING,INFO,"verdict = ""PASS_NEAR_TARGET_SYSTEM_FOUND""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_1_runner.py,245,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_1_runner.py,251,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_1_runner.py,258,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_2_runner.py,6,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_2_runner.py,212,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_2_runner.py,214,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_2_runner.py,221,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_2_runner.py,353,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase17_2_runner.py,416,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase22_runner.py,403,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase22_runner.py,403,FUTURE_PNL,INFO,future_pnl,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase22_runner.py,661,VERDICT_HARDCODING,INFO,"verdict = ""PASS_PRECISION_FUSION_5_BREAKTHROUGH""",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase23_runner.py,587,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase25_1_runner.py,156,SAMPLE_REPLACE,INFO,".sample(n=300, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase25_1_runner.py,169,FORCED_PNL,INFO,diff_pnl =,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase25_1_runner.py,403,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase25_1_runner.py,404,FUTURE_PNL,INFO,future_pnl,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_1_runner.py,153,SAMPLE_REPLACE,INFO,".sample(n=300, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_1_runner.py,162,FORCED_PNL,INFO,diff_pnl =,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_1_runner.py,166,SAMPLE_REPLACE,INFO,".sample(n=315, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_1_runner.py,283,IS_WINNER_LIVE,INFO,is_winner,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_1_runner.py,284,FUTURE_PNL,INFO,future_pnl,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_runner.py,166,SAMPLE_REPLACE,INFO,".sample(n=300, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase26_runner.py,176,FORCED_PNL,INFO,diff_pnl =,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase27_runner.py,153,SAMPLE_REPLACE,INFO,".sample(n=300, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase27_runner.py,162,FORCED_PNL,INFO,diff_pnl =,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase27_runner.py,166,SAMPLE_REPLACE,INFO,".sample(n=315, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase27_runner.py,335,FORCED_PNL,INFO,pnl_81 = 31250.80,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase28_runner.py,150,SAMPLE_REPLACE,INFO,".sample(n=300, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase28_runner.py,159,FORCED_PNL,INFO,diff_pnl =,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase28_runner.py,163,SAMPLE_REPLACE,INFO,".sample(n=315, replace=True",ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
src\research\phase28_runner.py,176,FORCED_PNL,INFO,pnl_81 = 31250.80,ALLOWED_HISTORICAL_CONTEXT,Historical context. Reference only; do not copy logic into new strategies.
