month,original_pnl,loss_bucket_contribution,repair_overlay,repaired_pnl,converted_positive
2020-01,-345.5,funding_drag,funding_extreme_skip,120.4,YES
2020-02,-120.0,funding_drag,funding_extreme_skip,50.0,YES
2020-03,-550.0,weak_continuation,trailing_be_at_0.5R,-220.0,NO
2020-04,-80.0,funding_drag,funding_extreme_skip,40.0,YES
2020-05,-1200.0,weak_continuation,trailing_be_at_0.5R,-650.0,NO
2020-06,-450.0,false_breakout,volume_confirm_breakout,10.0,YES
2020-08,-750.0,weak_continuation,trailing_be_at_0.5R,-300.0,NO
2020-10,-250.0,false_breakout,volume_confirm_breakout,45.0,YES
2020-11,-310.0,false_breakout,volume_confirm_breakout,20.0,YES
2021-02,-420.0,trend_whipsaw,ema_slope_confirm,-550.0,NO
2021-03,-180.0,trend_whipsaw,ema_slope_confirm,-220.0,NO
2021-06,-650.0,trend_whipsaw,ema_slope_confirm,-780.0,NO
