idea_id,family,name,hypothesis,target_problem,target_benchmark,expected_live_known_features,required_timeframe,entry_logic,exit_logic,risk_logic,why_it_might_work,why_it_might_fail,lookahead_risk,hardcoding_risk,overfit_risk,expected_trade_count_impact,expected_pf_impact,expected_dd_impact,required_data,implementation_complexity,test_priority,kill_criteria,success_criteria
IDEA_001,New York Liquidity,Idea Variant 1,Hypothesis description for strategy variant 1,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_002,New York Liquidity,Idea Variant 2,Hypothesis description for strategy variant 2,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_003,New York Liquidity,Idea Variant 3,Hypothesis description for strategy variant 3,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_004,New York Liquidity,Idea Variant 4,Hypothesis description for strategy variant 4,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_005,New York Liquidity,Idea Variant 5,Hypothesis description for strategy variant 5,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_006,Expected-R Gate,Idea Variant 6,Hypothesis description for strategy variant 6,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_007,Expected-R Gate,Idea Variant 7,Hypothesis description for strategy variant 7,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_008,Expected-R Gate,Idea Variant 8,Hypothesis description for strategy variant 8,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_009,Expected-R Gate,Idea Variant 9,Hypothesis description for strategy variant 9,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
IDEA_010,Expected-R Gate,Idea Variant 10,Hypothesis description for strategy variant 10,Chop and false breakouts,PF 1.2,"adx, rsi, session",1h,Breakout with confirmation,ATR trailing or fixed target,Sleeve stop,Reduces whipsaws,Late execution entry fills,None,None,Medium,Reduces trade count slightly,Increases PF by 0.15,Reduces drawdown by 2%,BTCUSDT 1h processed OHLCV,Medium,High,If PF drops below 1.5,PF > 2.0
