candidate_id,family,category,exact_rule,parameters,live_known_features,expected_mechanism_target,expected_trade_count_effect,expected_failure_mode,parameter_hash,behavior_hash,no_lookahead_verdict
C25_0001,retest_breakout_confirm,B,Enter on 15m retest confirmation after 1h breakout,"{""adx_thresh"": 16, ""rsi_overbought"": 71, ""rsi_oversold"": 16, ""wick_ratio_thresh"": 0.31, ""volume_trend_thresh"": 0.85, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,2e5bd64cb59d1ffc,74fd446b1d544ed1,PASS
C25_0002,pullback_reclaim_5m,B,Trigger 5m pullback reclaim after missed 1h breakout,"{""adx_thresh"": 17, ""rsi_overbought"": 72, ""rsi_oversold"": 17, ""wick_ratio_thresh"": 0.32, ""volume_trend_thresh"": 0.9, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,cb7ce8f0d7ef51ab,1e4290720f11a815,PASS
C25_0003,structure_hl_15m,B,Enter on 15m higher-low structure reclaim,"{""adx_thresh"": 18, ""rsi_overbought"": 73, ""rsi_oversold"": 18, ""wick_ratio_thresh"": 0.33, ""volume_trend_thresh"": 0.95, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,3bcd826a04458572,372b70a17f658458,PASS
C25_0004,vwap_reclaim_precision,B,Reclaim VWAP deviation with tight ATR stop,"{""adx_thresh"": 19, ""rsi_overbought"": 74, ""rsi_oversold"": 19, ""wick_ratio_thresh"": 0.34, ""volume_trend_thresh"": 1.0, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,a1a6e6f4181d8afe,4aad6ea2b8f9636c,PASS
C25_0005,liquidity_sweep_reclaim,B,Buy/sell clean wick sweep of swing high/low,"{""adx_thresh"": 20, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""wick_ratio_thresh"": 0.35, ""volume_trend_thresh"": 1.05, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,7ec34eb36c320274,7c2f13dc1064797e,PASS
C25_0006,false_breakout_filter,A,Filter out entry if opposite wick ratio > 0.45,"{""adx_thresh"": 21, ""rsi_overbought"": 76, ""rsi_oversold"": 21, ""wick_ratio_thresh"": 0.36, ""volume_trend_thresh"": 1.1, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,e4d3eb42ab1a6dc5,b44be4eb24c06fea,PASS
C25_0007,wick_rejection_filter,A,Filter out entry if upper wick is too long,"{""adx_thresh"": 22, ""rsi_overbought"": 77, ""rsi_oversold"": 22, ""wick_ratio_thresh"": 0.37, ""volume_trend_thresh"": 1.15, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,f0a96c0736794df6,bb0bb2ace3d87ebf,PASS
C25_0008,funding_extreme_skip,A,Skip entry if absolute funding exceeds threshold,"{""adx_thresh"": 23, ""rsi_overbought"": 78, ""rsi_oversold"": 23, ""wick_ratio_thresh"": 0.38, ""volume_trend_thresh"": 1.2, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,2d333dc3170d01b9,3775d9a6523d2626,PASS
C25_0009,allowed_hours_filter,A,Restrict entry to Tokyo/London/NY liquid sessions,"{""adx_thresh"": 24, ""rsi_overbought"": 79, ""rsi_oversold"": 24, ""wick_ratio_thresh"": 0.39, ""volume_trend_thresh"": 1.25, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,27d0e1291ff0290d,c0e0042831802e73,PASS
C25_0010,second_retest_entry,B,Buy pullback reclaim on second retest of support,"{""adx_thresh"": 25, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""wick_ratio_thresh"": 0.4, ""volume_trend_thresh"": 1.3, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,adf99fa007c7d3aa,cfa8751ba085ebac,PASS
C25_0011,retest_breakout_confirm,B,Enter on 15m retest confirmation after 1h breakout,"{""adx_thresh"": 26, ""rsi_overbought"": 81, ""rsi_oversold"": 26, ""wick_ratio_thresh"": 0.41, ""volume_trend_thresh"": 1.35, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,94793a080e56a90f,3e898acb9b625252,PASS
C25_0012,pullback_reclaim_5m,B,Trigger 5m pullback reclaim after missed 1h breakout,"{""adx_thresh"": 27, ""rsi_overbought"": 82, ""rsi_oversold"": 27, ""wick_ratio_thresh"": 0.42, ""volume_trend_thresh"": 1.4, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,d8506b02da7eb0ca,e1a73b3a7267cfc3,PASS
C25_0013,structure_hl_15m,B,Enter on 15m higher-low structure reclaim,"{""adx_thresh"": 28, ""rsi_overbought"": 83, ""rsi_oversold"": 28, ""wick_ratio_thresh"": 0.43, ""volume_trend_thresh"": 1.45, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,bb7f0f10ab88607c,3415b546eb218e28,PASS
C25_0014,vwap_reclaim_precision,B,Reclaim VWAP deviation with tight ATR stop,"{""adx_thresh"": 29, ""rsi_overbought"": 84, ""rsi_oversold"": 29, ""wick_ratio_thresh"": 0.44, ""volume_trend_thresh"": 1.5, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,eff05005447ec5d4,5d6a5d8417d1a4ba,PASS
C25_0015,liquidity_sweep_reclaim,B,Buy/sell clean wick sweep of swing high/low,"{""adx_thresh"": 30, ""rsi_overbought"": 70, ""rsi_oversold"": 15, ""wick_ratio_thresh"": 0.45, ""volume_trend_thresh"": 1.55, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,5e4a30164977b1ce,6e83bdd4bdc86281,PASS
C25_0016,false_breakout_filter,A,Filter out entry if opposite wick ratio > 0.45,"{""adx_thresh"": 31, ""rsi_overbought"": 71, ""rsi_oversold"": 16, ""wick_ratio_thresh"": 0.46, ""volume_trend_thresh"": 1.6, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,7e5b0dc80fa2b902,e6df7848a0ae6f9b,PASS
C25_0017,wick_rejection_filter,A,Filter out entry if upper wick is too long,"{""adx_thresh"": 32, ""rsi_overbought"": 72, ""rsi_oversold"": 17, ""wick_ratio_thresh"": 0.47, ""volume_trend_thresh"": 1.65, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,a995381b9c49bc7d,3e215db9a4e36b95,PASS
C25_0018,funding_extreme_skip,A,Skip entry if absolute funding exceeds threshold,"{""adx_thresh"": 33, ""rsi_overbought"": 73, ""rsi_oversold"": 18, ""wick_ratio_thresh"": 0.48, ""volume_trend_thresh"": 1.7, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,79d874ae8674746b,2a107d1aee7d3e48,PASS
C25_0019,allowed_hours_filter,A,Restrict entry to Tokyo/London/NY liquid sessions,"{""adx_thresh"": 34, ""rsi_overbought"": 74, ""rsi_oversold"": 19, ""wick_ratio_thresh"": 0.49, ""volume_trend_thresh"": 1.75, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,a9f304d5c6712cc7,769b39e5973649d7,PASS
C25_0020,second_retest_entry,B,Buy pullback reclaim on second retest of support,"{""adx_thresh"": 15, ""rsi_overbought"": 75, ""rsi_oversold"": 20, ""wick_ratio_thresh"": 0.5, ""volume_trend_thresh"": 0.8, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,40ca5fe4c27fd6b7,cadd0db41fe37214,PASS
C25_0021,retest_breakout_confirm,B,Enter on 15m retest confirmation after 1h breakout,"{""adx_thresh"": 16, ""rsi_overbought"": 76, ""rsi_oversold"": 21, ""wick_ratio_thresh"": 0.51, ""volume_trend_thresh"": 0.85, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,b250d46185a33dd0,10cf113e0b716de3,PASS
C25_0022,pullback_reclaim_5m,B,Trigger 5m pullback reclaim after missed 1h breakout,"{""adx_thresh"": 17, ""rsi_overbought"": 77, ""rsi_oversold"": 22, ""wick_ratio_thresh"": 0.52, ""volume_trend_thresh"": 0.9, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,139bc46804bbe43f,cc1666ea1773aae4,PASS
C25_0023,structure_hl_15m,B,Enter on 15m higher-low structure reclaim,"{""adx_thresh"": 18, ""rsi_overbought"": 78, ""rsi_oversold"": 23, ""wick_ratio_thresh"": 0.53, ""volume_trend_thresh"": 0.95, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,ec0896c0ad584ba7,e65aca44d8602e92,PASS
C25_0024,vwap_reclaim_precision,B,Reclaim VWAP deviation with tight ATR stop,"{""adx_thresh"": 19, ""rsi_overbought"": 79, ""rsi_oversold"": 24, ""wick_ratio_thresh"": 0.54, ""volume_trend_thresh"": 1.0, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,1aa5d6140a0aba56,b733077be4f47f02,PASS
C25_0025,liquidity_sweep_reclaim,B,Buy/sell clean wick sweep of swing high/low,"{""adx_thresh"": 20, ""rsi_overbought"": 80, ""rsi_oversold"": 25, ""wick_ratio_thresh"": 0.3, ""volume_trend_thresh"": 1.05, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,da56b4c6a135c578,bd78e6c2c0a0658a,PASS
C25_0026,false_breakout_filter,A,Filter out entry if opposite wick ratio > 0.45,"{""adx_thresh"": 21, ""rsi_overbought"": 81, ""rsi_oversold"": 26, ""wick_ratio_thresh"": 0.31, ""volume_trend_thresh"": 1.1, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,e6644664da0fa07f,806dbcb5fe0ddc2a,PASS
C25_0027,wick_rejection_filter,A,Filter out entry if upper wick is too long,"{""adx_thresh"": 22, ""rsi_overbought"": 82, ""rsi_oversold"": 27, ""wick_ratio_thresh"": 0.32, ""volume_trend_thresh"": 1.15, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,a112b2a35d7864ec,eb2451b658177510,PASS
C25_0028,funding_extreme_skip,A,Skip entry if absolute funding exceeds threshold,"{""adx_thresh"": 23, ""rsi_overbought"": 83, ""rsi_oversold"": 28, ""wick_ratio_thresh"": 0.33, ""volume_trend_thresh"": 1.2, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,b9dd01b3cde5472c,c457d6a7bc1db087,PASS
C25_0029,allowed_hours_filter,A,Restrict entry to Tokyo/London/NY liquid sessions,"{""adx_thresh"": 24, ""rsi_overbought"": 84, ""rsi_oversold"": 29, ""wick_ratio_thresh"": 0.34, ""volume_trend_thresh"": 1.25, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,decrease,winner clipping,22fb72667b8a6a83,d08e304613ee0dad,PASS
C25_0030,second_retest_entry,B,Buy pullback reclaim on second retest of support,"{""adx_thresh"": 25, ""rsi_overbought"": 70, ""rsi_oversold"": 15, ""wick_ratio_thresh"": 0.35, ""volume_trend_thresh"": 1.3, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,293dfaea91bd7eea,2b6174865a91210d,PASS
C25_0031,retest_breakout_confirm,B,Enter on 15m retest confirmation after 1h breakout,"{""adx_thresh"": 26, ""rsi_overbought"": 71, ""rsi_oversold"": 16, ""wick_ratio_thresh"": 0.36, ""volume_trend_thresh"": 1.35, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,862bc54b2c466af1,7ee91a48d398c520,PASS
C25_0032,pullback_reclaim_5m,B,Trigger 5m pullback reclaim after missed 1h breakout,"{""adx_thresh"": 27, ""rsi_overbought"": 72, ""rsi_oversold"": 17, ""wick_ratio_thresh"": 0.37, ""volume_trend_thresh"": 1.4, ""bb_width_thresh"": 0.06, ""atr_pct_thresh"": 0.35, ""funding_threshold"": 0.0005, ""allowed_hours"": [0,1,2,8,9,10,13,14,15], ""retest_depth"": 0.5, ""cost_to_atr_mult"": 1.5}","ADX, RSI, WickRatio, VolumeTrend, FundingRate, UTC_Hour, RetestDepth",Volume impulse expansion confirmation,increase,cost erosion,1c339b08bb951e18,a340b05ad3d3e94a,PASS
