idea_id,family,name,hypothesis,target_problem,target_benchmark,expected_live_known_features,required_timeframe,entry_logic,exit_logic,risk_logic,why_it_might_work,why_it_might_fail,lookahead_risk,hardcoding_risk,live_known_safety,expected_pnl_impact,expected_pf_impact,expected_dd_impact,expected_stress_impact,expected_trade_count_impact,implementation_complexity,overfit_risk,data_requirement,test_priority,strategy_family,candidate_template_compatibility
IDEA_001,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 1,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 1 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.050.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.40,-12.0%,7/15 PASS,-15%,Medium,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_002,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 2,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 2 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.100.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.50,-9.0%,8/15 PASS,-20%,High,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_003,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 3,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 3 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.150.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.60,-15.0%,9/15 PASS,-25%,Low,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_004,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 4,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 4 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.200.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.30,-12.0%,6/15 PASS,-30%,Medium,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_005,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 5,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 5 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.250.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.40,-9.0%,7/15 PASS,-10%,High,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_006,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 6,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 6 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.300.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.50,-15.0%,8/15 PASS,-15%,Low,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_007,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 7,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 7 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.350.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2000,1.60,-12.0%,9/15 PASS,-20%,Medium,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_008,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 8,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 8 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.400.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$2500,1.30,-9.0%,6/15 PASS,-25%,High,Low,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_009,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 9,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 9 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.450.,Fixed stop at 1.2 ATR and take profit at 2.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$3000,1.40,-15.0%,7/15 PASS,-30%,Low,Medium,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
IDEA_010,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 10,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 10 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",1h,Enter breakout if close_1h meets threshold 0.500.,Fixed stop at 1.5 ATR and take profit at 2.5 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1000,1.50,-12.0%,8/15 PASS,-10%,Medium,High,BTCUSDT 1h,High,Breakout,UniversalStrategyTemplate
IDEA_011,Strategy #1 Repair Ideas,Strategy #1 Repair Ideas Variant 11,Using Repairs for the protected Combined Router v1 baseline with parameter threshold index 11 filters false signals.,Volatility regimes in bear months for Strategy #1 Repair Ideas.,Strategy #1,"close_1h, rsi_14, adx_14",15m,Enter breakout if close_1h meets threshold 0.550.,Fixed stop at 1.8 ATR and take profit at 3.0 ATR.,"Capital allocation 1.0% per trade, max 1 position.",Reduces noise during choppy periods in Strategy #1 Repair Ideas.,Could cause high entry execution slippage.,None (uses strictly closed candles).,None (fully computed parameters).,PASS,+$1500,1.60,-9.0%,9/15 PASS,-15%,High,High,BTCUSDT 1h,High,Reversion,UniversalStrategyTemplate
