workspace,file_path,artifact_type,phase,matched_terms,relevant_lines_or_columns,live_safe,teacher_only,helps_recover_bc,unique_vs_github_checkout,note
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;MFE;MAE;15m;5m,13;20;21;22;23;35;36;38,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\auditor_m3_1\BRIEFING.md,report_or_note,,ATR,33,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\auditor_m3_1\ORIGINAL_REQUEST.md,report_or_note,,ATR,10,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\auditor_m3_1\progress.md,report_or_note,,ATR,9,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\orchestrator\plan.md,report_or_note,,funding,26;32;45,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\BRIEFING.md,report_or_note,,5m,29;39;40,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\ORIGINAL_REQUEST.md,report_or_note,,5m,8;11;12,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\handoff.md,report_or_note,,ATR;5m,13;21;26;35;36;37;38;43,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\reviewer_m3_1\verify_baselines.py,source,,funding;ADX;ATR;15m;5m,35;38;46;47;74;75;78;83,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m1\BRIEFING.md,report_or_note,,funding,39,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m1\handoff.md,report_or_note,,funding,9;61;68,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_1\BRIEFING.md,report_or_note,,15m;5m,29;35,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_1\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,7;8;9;10,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_1\handoff.md,report_or_note,,retest;funding;ATR;15m;5m,5;9;11;35;37;40;41;44,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\BRIEFING.md,report_or_note,,15m;5m,32;33;34,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,7;8;9;10,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\handoff.md,report_or_note,,retest;VWAP;funding;ADX;ATR;15m;5m,22;26;28;43;44;45;46;48,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_2\progress.md,report_or_note,,retest;ATR,10;11,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\BRIEFING.md,report_or_note,,retest;funding;ATR;15m;5m,15;17;18;31;35;37,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,8;9;10;11,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\handoff.md,report_or_note,,retest;funding;ADX;ATR;15m;5m,3;11;15;17;21;29;50;52,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\teamwork_preview_explorer_m3_3\progress.md,report_or_note,,retest;5m,5,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m1_1\handoff.md,report_or_note,,VWAP;funding,8;11,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\BRIEFING.md,report_or_note,,ATR;MFE;MAE,4;16;23;24;29;34,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\ORIGINAL_REQUEST.md,report_or_note,,ATR;MFE;MAE,17;19;20;21;22;23,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\handoff.md,report_or_note,,funding;ATR;MFE;MAE;5m,16;17;18;19;20;22;29;36,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m2_1\progress.md,report_or_note,,ATR,11;12;13,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\BRIEFING.md,report_or_note,,retest,23,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\ORIGINAL_REQUEST.md,report_or_note,,retest;ATR;15m;5m,9;10;11;15;22;23;25;26,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\handoff.md,report_or_note,,15m;5m,10;18;21;26;29,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_1\progress.md,report_or_note,,15m;5m,6;10,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_2\BRIEFING.md,report_or_note,,5m,26,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_2\ORIGINAL_REQUEST.md,report_or_note,,ATR;5m,9;10;16;19,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_3\ORIGINAL_REQUEST.md,report_or_note,,ATR;5m,9;10;16;19,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.agents\worker_m3_3\handoff.md,report_or_note,,5m,29;30,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\.gitignore,other,,5m,12;13,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\ORIGINAL_REQUEST.md,report_or_note,,retest;VWAP;funding;ADX;ATR;MFE;MAE;15m;5m,15;19;22;31;64;88;95;96,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\PROMPT_EVOLUTION_LOG.md,report_or_note,,funding,10,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\README.md,report_or_note,,funding;ATR,9;18;46,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\RULES_AND_REGULATIONS.md,report_or_note,,funding,11;17,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\WALKTHROUGH.md,report_or_note,,Variant B;Variant C;Precision Fusion 1.2;MFE;MAE,12;20;21;22;29;31,ANALYSIS_ONLY,NO,YES,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\check_data.py,source,,funding;15m;5m,2;4,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\configs\costs.yaml,structured_artifact,,funding,4,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\configs\project.yaml,structured_artifact,,15m;5m,4;5,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\configs\stress_tests.yaml,structured_artifact,,15m;5m,38;41;44;45,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BNBUSDT_1h_processed.csv,structured_artifact,,funding,1,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BTCUSDT_15m_processed.csv,structured_artifact,,funding;15m;5m,1,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BTCUSDT_1h_processed.csv,structured_artifact,,funding,1,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\BTCUSDT_5m_processed.csv,structured_artifact,,funding;5m,1,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\ETHUSDT_1h_processed.csv,structured_artifact,,funding,1,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\processed\SOLUSDT_1h_processed.csv,structured_artifact,,funding,1,ANALYSIS_ONLY,NO,MAYBE,NO,
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BNBUSDT_15m_raw.csv,structured_artifact,,15m;5m,,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BNBUSDT_5m_raw.csv,structured_artifact,,5m,,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BNBUSDT_funding_raw.csv,structured_artifact,,funding,1,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BTCUSDT_15m_raw.csv,structured_artifact,,15m;5m,,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BTCUSDT_5m_raw.csv,structured_artifact,,5m,,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\BTCUSDT_funding_raw.csv,structured_artifact,,funding,1,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\ETHUSDT_15m_raw.csv,structured_artifact,,15m;5m,,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
antigravity,C:\Users\HP\.gemini\antigravity\scratch\binance_futures_backtest\data\raw\ETHUSDT_5m_raw.csv,structured_artifact,,5m,,ANALYSIS_ONLY,NO,MAYBE,YES,Antigravity-only artifact
