file,line,pattern,verdict,explanation,is_live_path,context
scripts\audit_engine.py,19,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"""FORCED_PNL"": re.compile(r""(\bdiff_pnl\s*=|net_pnl\.sum\(\)\s*\+=\s*|pnl_81_calc\s*=\s*pnl_81|pnl_81\s*=\s*\d+\.\d+)""),"
scripts\audit_engine.py,19,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"""FORCED_PNL"": re.compile(r""(\bdiff_pnl\s*=|net_pnl\.sum\(\)\s*\+=\s*|pnl_81_calc\s*=\s*pnl_81|pnl_81\s*=\s*\d+\.\d+)""),"
scripts\audit_engine.py,24,is_winner,HISTORICAL_REFERENCE,Outcome label — live lookahead,False,"""IS_WINNER_LIVE"": re.compile(r""\bis_winner\b""),"
scripts\audit_engine.py,25,future_pnl,HISTORICAL_REFERENCE,Future PnL used as feature,False,"""FUTURE_PNL"": re.compile(r""\bfuture_pnl\b""),"
scripts\audit_engine.py,26,future_return,HISTORICAL_REFERENCE,Future return used as feature,False,"""FUTURE_RETURN"": re.compile(r""\bfuture_return\b""),"
scripts\audit_engine.py,27,future_mfe,HISTORICAL_REFERENCE,Future MFE used as feature,False,"""FUTURE_MFE"": re.compile(r""\bfuture_mfe\b""),"
scripts\audit_engine.py,28,future_mae,HISTORICAL_REFERENCE,Future MAE used as feature,False,"""FUTURE_MAE"": re.compile(r""\bfuture_mae\b""),"
scripts\audit_engine.py,67,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"rec = ""Avoid duplicating trades using sample(replace=True) to pad candidate lists."""
scripts\check_project_memory.py,114,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"check(file_contains(rulebook, ""sample"", ""replace=True""),"
scripts\check_project_memory.py,115,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"""Rulebook: Prohibits trade sampling (replace=True)"")"
scripts\phase29_1_truth_first_recovery.py,657,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"r""diff_pnl"","
scripts\phase29_1_truth_first_recovery.py,659,pnl_70,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"r""pnl_70\s*="","
scripts\phase29_1_truth_first_recovery.py,660,pnl_80,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"r""pnl_80\s*="","
scripts\phase29_1_truth_first_recovery.py,661,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"r""pnl_81\s*="","
scripts\phase29_1_truth_first_recovery.py,672,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"r""\.sample\(n=.*replace=True"","
scripts\phase29_2_precision_fusion_truth.py,733,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"(""replace=True"", ""replacement sampling""),"
scripts\phase29_absolute_truth_audit.py,191,pnl_81,HISTORICAL_REFERENCE,Known invalid benchmark reference,False,"if ""diff_pnl"" in text or ""pnl_81 = 31250.80"" in text:"
scripts\phase29_absolute_truth_audit.py,191,diff_pnl,HISTORICAL_REFERENCE,Forced PnL delta pattern,False,"if ""diff_pnl"" in text or ""pnl_81 = 31250.80"" in text:"
scripts\phase29_absolute_truth_audit.py,393,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
scripts\phase29_absolute_truth_audit.py,393,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_add = trades_floor.sample(n=300, replace=True, random_state=100).copy()"
scripts\phase29_absolute_truth_audit.py,401,replace=True,HISTORICAL_REFERENCE,Fake trade sampling,False,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
scripts\phase29_absolute_truth_audit.py,401,.sample(n=,HISTORICAL_REFERENCE,Trade sampling — possible fake expansion,False,"t_add_80 = trades_floor.sample(n=315, replace=True, random_state=200).copy()"
